품목코드,품목명,평균수주단가,Column 4
,,,
1.#JE+00,가쓰오다시국물900ml,,
11501122,조미액-갈릭라이스3kg,,
11501131,조미유-쉐프솔루션베이스볶음밥(시즌),,
13D01212,이마트오리엔탈드레싱270g,1790,
13D01213,이마트케이준드레싱330g,2250,
13D01214,Sias유자드레싱1025g,4619.7287174,
13D01218,시아스올리브유오리엔탈드레싱975g,5399.8822093,
13D01219,한식요리에잘어울리는오리엔탈드레싱270g,2057.8947368,
13D01220,상큼한발사믹초넣은발사믹드레싱275g,2195.3478261,
13D01221,갈릭소스-M,2960.2649007,
13D01222,케이준소스-M,3134.9206349,
13D01235,프리미엄오리엔탈드레싱1kg,5539.0413943,
13D01245,유자샐러드소스240g,1177.6440678,
13D01253,우아한1000아일랜드드레싱320g,1589,
13D01254,ORGA키위드레싱270g,1708,
13D01256,ORGA감귤드레싱275g,1678,
13D01260,유자샐러드소스-N 235g,1194.7022472,
13D01266,우아한오리엔탈드레싱270g,1704.6880597,
13D01267,우아한키위드레싱345g,2145.4943311,
13D01269,자연드림시저드레싱,2085.3658537,
13D01276,자연드림사우전아일랜드드레싱(260g),2365,
13D01279,시져소스T,519.00763359,
13D01280,유자발사믹소스E 2kg,4471.1111111,
13D01285,홈스타일발사믹드레싱,1830,
13D01286,홈스타일오리엔탈드레싱,1830,
13D01293,화이트와인비네거드레싱엔쵸비235g,1066.3354037,
13D01296,발사믹겨자소스JB,1056,
13D01305,이탈리안스타일드레싱엔쵸비,1149.5495495,
13D01308,정성담은사우전아일랜드드레싱(260g),2363.5676768,
13D01309,시저드레싱,601,
13D01313,정성담은발사믹드레싱(245g),1815,
13D01319,딸기요거트드레싱-N 235g,1340.9809886,
13D01320,플레인요거트드레싱-N 235g,1220.952912,
13D01321,사과요거트드레싱-N 235g,1284.0469543,
13D01324,CITRON DRESSING(냉장출고보관),5062.5,
13D01325,ORIENTAL DRESSING,3650,
13D01326,홈플러스시그니처키위드레싱,548.84453782,
13D01327,홈플러스시그니처발사믹드레싱,548.91089109,
13D01328,홈플러스시그니처오리엔탈드레싱,548.93410853,
13D01334,리얼과일한라봉&감귤저지방드레싱240g,1389.3133462,
13D01335,리얼과일애플망고저지방드레싱240g,1114,
13D01337,허니머스타드소스100g,360,
13D01340,곰곰오리엔탈드레싱,2450,
13D01341,곰곰참깨드레싱,2450,
13D01344,(21년)사과요거트드레싱-N,1283,
13D02060,레몬갈릭소스,937.39122591,
13D02080,참깨흑임자드레싱,888.6055814,
13D02094,스위트머스타드드레싱,919.82003647,
13D02103,참깨흑임자드레싱2kg,5380.7323299,
13D02111,아몬드호두드레싱,983.22028581,
13D02133,세서미오리엔탈드레싱115g,580.87912088,
13D02138,세서미오리엔탈드레싱2kg,8925.8372229,
13D02139,크리미시저드레싱,1391.8036086,
13D02140,세서미오리엔탈드레싱,1126.3717105,
13D02141,올리브유발사믹드레싱,1044.9831516,
13D02142,참깨흑임자드레싱100g,526.27003699,
13D02149,1/2샐러드소스 키위,1125.3306452,
13D02150,1/2샐러드소스 파인애플,1121.0138662,
13D02151,1/2샐러드소스 스트로베리,977.40999057,
13D02152,올리브유발사믹드레싱105g,598.30131004,
13D02156,오리엔탈드레싱225g,1108.719764,
13D02157,참깨흑임자드레싱495g,2113.0555556,
13D02159,올리브유발사믹드레싱525g,2462.3141361,
13D02160,1/2샐러드소스 키위115g,662.42574257,
13D02161,참깨흑임자드레싱105g,546.04324324,
13D02162,오리엔탈드레싱115g,643.90943194,
13D02163,스위트머스타드드레싱510g,2449.9883041,
13D02164,아몬드호두드레싱495g,2564.4164306,
13D02165,레몬갈릭소스,921.13429603,
13D02166,참깨흑임자드레싱,913.54565217,
13D02167,스위트머스타드드레싱,1025.6619339,
