고객번호,물품대분류,두번째구매까지기간
201901070754434,2단계,23
201901070754437,3단계,25
201901070754440,어른_생활용품,0
201901070754458,수유용품,59
201901070754460,3단계,0
201901070754469,티슈,0
201901070754471,수유용품,0
201901070754476,이벤트,0
201901070754479,2단계,0
201901070754482,티슈,166
201901070754483,화장품,7
201901070754484,수유용품,0
201901070754490,4단계,0
201901070754493,5단계,0
201901070754503,주방용품,85
201901070754505,5단계,199
201901070754515,2단계,63
201901070754528,티슈,93
201901070754530,청결용품,37
201901070754532,수유용품,32
201901070754542,1단계,0
201901070754561,1단계,83
201901070754565,2단계,19
201901070754566,어른_생활용품,184
201901070754568,수유용품,0
201901070754569,수유용품,252
201901070754571,수유용품,0
201901070754576,수유용품,14
201901070754588,수유용품,219
201901070754591,3단계,93
201901070754615,2단계,19
201901070754618,4단계,58
201901070754629,6단계,44
201901070754642,수유용품,0
201901070754644,수유용품,0
201901070754660,아이_생활용품,0
201901070754669,티슈,25
201901070754671,주방용품,0
201901070754675,이벤트,61
201901070754682,수유용품,0
201901070754684,3단계,208
201901070754693,5단계,0
201901070754703,주방용품,24
201901070754713,수유용품,19
201901070754717,수유용품,0
201901070754720,5단계,0
201901070754722,수유용품,110
201901070754742,3단계,14
201901070754744,생리대,459
201901070754750,이벤트,0
201901070754753,이벤트,41
201901070754762,청결용품,0
201901070754769,3단계,0
201901070754771,이벤트,0
201901070754782,수유용품,0
201901070754787,이벤트,0
201901070754790,1단계,16
201901070754800,티슈,57
201901070754810,2단계,7
201901070754811,수유용품,89
201901070754812,수유용품,0
201901070754815,주방용품,104
201901070754824,2단계,10
201901070754827,이벤트,242
201901070754833,3단계,9
201901070754834,아이_생활용품,52
201901070754844,티슈,0
201901070754845,2단계,3
201901070754848,수유용품,191
201901070754849,수유용품,37
201901070754855,수유용품,55
201901070754858,2단계,27
201901070754859,2단계,238
201901070754866,주방용품,37
201901070754868,아이_생활용품,0
201901070754879,이벤트,72
201901070754885,마스크,264
201901070754887,2단계,51
201901070754891,이벤트,0
201901070754912,주방용품,0
201901070754915,티슈,76
201901070754933,마스크,87
201901070754942,4단계,178
201901070754947,생리대,539
201901070754952,수유용품,32
201901070754958,아이_생활용품,18
201901070754959,생리대,48
201901070754965,아이_생활용품,30
201901070754972,이벤트,0
201901070754976,2단계,0
201901070754978,2단계,7
201901070754984,마스크,40
201901070755020,아이_생활용품,0
201901070755021,2단계,0
201901080755031,이벤트,24
201901080755032,티슈,23
201901080755054,어른_생활용품,3
201901080755062,5단계,33
201901080755065,이벤트,83
201901080755077,2단계,17
201901080755079,2단계,29
201901080755081,생리대,0
201901080755086,이벤트,0
201901080755088,이벤트,1
201901080755090,수유용품,133
201901080755097,수유용품,107
201901080755100,수유용품,6
201901080755107,5단계,99
201901080755113,이벤트,260
201901080755116,수유용품,0
201901080755128,수유용품,48
201901080755134,수유용품,72
201901080755138,수유용품,359
201901080755140,2단계,47
201901080755145,3단계,63
201901080755148,주방용품,76
201901080755154,2단계,41
201901080755156,4단계,0
201901080755163,이벤트,97
201901080755170,수유용품,226
201901080755172,생리대,20
201901080755174,이벤트,0
201901080755184,생리대,0
201901080755187,화장품,187
201901080755189,2단계,305
201901080755200,3단계,12
201901080755212,티슈,72
201901080755220,마스크,16
201901080755233,마스크,0
201901080755241,티슈,57
201901080755245,수유용품,0
201901080755253,주방용품,0
201901080755254,5단계,75
201901080755258,마스크,0
201901080755267,2단계,7
201901080755284,4단계,172
201901080755289,어른_생활용품,0
201901080755296,청결용품,35
201901080755298,1단계,136
201901080755302,3단계,50
201901080755306,수유용품,199
201901080755311,수유용품,1
201901080755315,3단계,23
201901080755320,2단계,24
201901080755322,4단계,81
201901080755331,수유용품,0
201901080755332,3단계,300
201901080755342,아이_생활용품,25
201901080755344,2단계,118
201901080755346,수유용품,40
201901080755365,4단계,138
201901080755370,2단계,1
201901080755375,3단계,5
201901080755382,생리대,0
201901080755383,생리대,0
201901080755386,장난감,178
201901080755387,2단계,108
201901080755390,4단계,1
201901080755392,수유용품,86
201901080755399,4단계,0
201901080755400,5단계,0
201901080755416,이벤트,0
201901080755417,주방용품,242
201901080755418,수유용품,28
201901080755426,화장품,0
201901080755431,2단계,34
201901080755440,생리대,177
201901080755442,수유용품,0
201901080755451,3단계,35
201901080755452,수유용품,59
201901080755454,청결용품,0
201901080755455,티슈,54
201901080755456,5단계,0
201901080755457,3단계,61
201901080755460,이벤트,29
201901080755490,4단계,32
201901080755498,2단계,41
201901080755512,2단계,24
201901080755513,수유용품,87
201901080755514,수유용품,34
201901080755516,1단계,329
201901080755523,2단계,124
201901080755530,이벤트,197
201901080755533,티슈,534
201901080755535,수유용품,0
201901080755536,생리대,68
201901080755538,3단계,171
201901080755544,1단계,33
201901080755550,수유용품,0
201901080755555,주방용품,71
201901080755562,수유용품,115
201901080755566,이벤트,56
201901080755580,수유용품,0
201901080755588,이벤트,156
201901080755593,2단계,19
201901080755596,티슈,221
201901080755611,티슈,28
201901080755619,이벤트,51
201901080755625,티슈,56
201901080755626,1단계,21
201901080755627,주방용품,227
201901080755633,1단계,49
201901080755641,생리대,239
201901080755646,2단계,42
201901080755648,아이_생활용품,0
201901080755661,수유용품,238
201901080755667,주방용품,160
201901080755682,티슈,31
201901080755684,수유용품,1
201901080755685,이벤트,15
201901080755693,이벤트,0
201901080755702,이벤트,1
201901080755707,2단계,118
201901080755708,2단계,80
201901080755709,주방용품,344
201901080755711,주방용품,434
201901080755714,2단계,2
201901080755725,수유용품,19
201901080755727,이벤트,118
201901080755730,수유용품,69
201901080755735,아이_생활용품,203
201901080755754,아이_생활용품,0
