AreaId,Area,dateObs,TempAvg,TempMin,hhmiTempMin,TempMax,hhmiTempMax,hourRainfall,RainfallAmount,HumidAvg,SnowloadMax,hhmiSnowloadMax
108,서울,2020-07-09,27.5,21.8,526,32.9,1449,,,64.6,,
108,서울,2020-07-10,24.5,22.7,2344,27.7,1,4.67,2.2,75,,
108,서울,2020-07-11,25.8,22.2,432,30.2,1406,,,62.6,,
108,서울,2020-07-12,23.5,21.7,2319,26,1235,5.42,2.9,71.9,,
108,서울,2020-07-13,18.7,17.7,615,21.7,1,22.92,47.6,94.8,,
108,서울,2020-07-14,20.3,17.2,416,24.3,1533,9.83,11.5,79.4,,
108,서울,2020-07-15,23.4,18.9,547,28.7,1703,,,63.1,,
108,서울,2020-07-16,25,20.4,454,29.7,1514,,,70.9,,
108,서울,2020-07-17,26,21.5,544,31.6,1433,0.58,0,72,,
108,서울,2020-07-18,26.1,22.8,529,31,1539,,,71.6,,
108,서울,2020-07-19,24,20.6,904,26.6,2201,5.67,29.1,81.6,,
108,서울,2020-07-20,23.8,22.4,2217,26.6,212,10.33,3.6,86.3,,
108,서울,2020-07-21,25,21.4,611,30.5,1533,0.83,0,77,,
108,서울,2020-07-22,23.7,22.6,2222,25.7,1501,11.17,11.5,89.3,,
108,서울,2020-07-23,21.1,18.5,2319,22.6,1,22.67,103.1,95.5,,
108,서울,2020-07-24,22.5,18.7,1,26.8,1625,8.25,2.9,74.3,,
108,서울,2020-07-25,24.3,22.3,235,29,1555,0.5,0,69.3,,
108,서울,2020-07-26,25.4,21.6,549,29.6,1614,0.42,0,69.3,,
108,서울,2020-07-27,24.3,22.9,611,25.5,1540,16.92,2.2,86.4,,
108,서울,2020-07-28,24.4,22.7,548,26.4,1447,10.17,0.4,84.8,,
108,서울,2020-07-29,23.7,22.6,925,24.9,1746,18.17,50.1,95.8,,
108,서울,2020-07-30,25.3,23.4,2324,28.4,1439,5.25,0.1,85.5,,
108,서울,2020-07-31,26.2,22.8,635,29.6,1319,2.42,1.5,81.9,,
108,서울,2020-08-01,25.3,24.3,546,26.9,1113,16.5,39.1,90.9,,
108,서울,2020-08-02,24.9,23.5,1855,26.4,1501,23.25,31.4,96.3,,
108,서울,2020-08-03,25,23.9,2002,26.3,142,19.92,102.6,96.3,,
108,서울,2020-08-04,27,25,1,29.4,1520,11.67,3.9,89.3,,
108,서울,2020-08-05,26.5,25.5,2346,29.1,1630,12.67,18.5,92.1,,
108,서울,2020-08-06,24.1,22.9,2357,26,1644,12.33,75.7,92.8,,
108,서울,2020-08-07,24.3,22.6,628,26.1,1536,2.5,0,85.3,,
108,서울,2020-08-08,24.2,22.7,432,26.1,1628,10.42,19.1,89.5,,
108,서울,2020-08-09,24.9,23.7,1,25.8,2330,20.25,50.3,95.4,,
108,서울,2020-08-10,26.5,24.7,2357,29.5,1331,17.67,44.6,91.6,,
