,고객번호,최근구매일,가입일,고객번호(가입일제외)
447,201901020751165,20200108,20190102,751165
448,201901020751171,20191011,20190102,751171
449,201901020751172,20200512,20190102,751172
450,201901020751184,20190624,20190102,751184
451,201901020751185,20200302,20190102,751185
452,201901020751192,20190103,20190102,751192
453,201901020751193,20190821,20190102,751193
454,201901020751194,20190103,20190102,751194
455,201901020751195,20190225,20190102,751195
456,201901020751196,20190118,20190102,751196
457,201901020751198,20190626,20190102,751198
458,201901020751201,20190128,20190102,751201
459,201901020751209,20200210,20190102,751209
460,201901020751212,20190103,20190102,751212
461,201901020751217,20190103,20190102,751217
462,201901020751221,20190731,20190102,751221
463,201901020751224,20190103,20190102,751224
464,201901020751225,20191023,20190102,751225
465,201901020751230,20190103,20190102,751230
466,201901020751233,20191025,20190102,751233
467,201901020751234,20190823,20190102,751234
468,201901020751237,20190121,20190102,751237
469,201901020751238,20190216,20190102,751238
470,201901020751240,20190103,20190102,751240
471,201901020751241,20200730,20190102,751241
472,201901020751242,20200122,20190102,751242
473,201901020751244,20190422,20190102,751244
474,201901020751246,20191003,20190102,751246
475,201901020751250,20190730,20190102,751250
476,201901020751251,20200422,20190102,751251
477,201901020751252,20190125,20190102,751252
478,201901020751253,20190618,20190102,751253
479,201901020751255,20190128,20190102,751255
480,201901020751256,20190114,20190102,751256
481,201901020751260,20190116,20190102,751260
482,201901020751262,20200515,20190102,751262
483,201901020751263,20190103,20190102,751263
484,201901020751270,20190728,20190102,751270
485,201901020751273,20191218,20190102,751273
486,201901020751274,20190208,20190102,751274
487,201901020751280,20200418,20190102,751280
488,201901020751285,20191015,20190102,751285
489,201901020751288,20200619,20190102,751288
490,201901020751291,20190103,20190102,751291
491,201901020751292,20190714,20190102,751292
492,201901020751293,20190621,20190102,751293
493,201901020751295,20190103,20190102,751295
494,201901020751298,20190629,20190102,751298
495,201901020751299,20200325,20190102,751299
496,201901020751301,20190401,20190102,751301
497,201901020751305,20190212,20190102,751305
498,201901020751311,20200320,20190102,751311
499,201901020751315,20200322,20190102,751315
500,201901020751318,20190917,20190102,751318
501,201901020751322,20200206,20190102,751322
502,201901020751325,20190328,20190102,751325
503,201901020751327,20190106,20190102,751327
504,201901020751330,20190509,20190102,751330
505,201901020751331,20190103,20190102,751331
506,201901020751333,20190626,20190102,751333
507,201901020751335,20200410,20190102,751335
508,201901020751339,20190307,20190102,751339
509,201901020751340,20200320,20190102,751340
510,201901020751341,20190831,20190102,751341
511,201901020751344,20190626,20190102,751344
512,201901020751345,20200416,20190102,751345
513,201901020751351,20200522,20190102,751351
514,201901020751362,20200803,20190102,751362
515,201901020751366,20190701,20190102,751366
516,201901030751355,20190103,20190103,751355
517,201901030751357,20190729,20190103,751357
518,201901030751358,20190209,20190103,751358
519,201901030751370,20191024,20190103,751370
520,201901030751371,20200403,20190103,751371
521,201901030751376,20190425,20190103,751376
522,201901030751379,20200508,20190103,751379
523,201901030751382,20190315,20190103,751382
524,201901030751383,20190105,20190103,751383
525,201901030751384,20190730,20190103,751384
526,201901030751385,20190228,20190103,751385
527,201901030751387,20200515,20190103,751387
528,201901030751388,20190219,20190103,751388
529,201901030751389,20190729,20190103,751389
530,201901030751392,20190103,20190103,751392
531,201901030751393,20190321,20190103,751393
532,201901030751401,20190103,20190103,751401
533,201901030751402,20191021,20190103,751402
534,201901030751408,20190603,20190103,751408
535,201901030751409,20190829,20190103,751409
536,201901030751412,20200130,20190103,751412
537,201901030751425,20191219,20190103,751425
538,201901030751426,20190704,20190103,751426
539,201901030751428,20190125,20190103,751428
540,201901030751429,20190710,20190103,751429
541,201901030751430,20190104,20190103,751430
542,201901030751434,20190809,20190103,751434
543,201901030751440,20191224,20190103,751440
544,201901030751443,20190701,20190103,751443
545,201901030751447,20190918,20190103,751447
546,201901030751448,20190814,20190103,751448
547,201901030751452,20190331,20190103,751452
548,201901030751463,20190103,20190103,751463
549,201901030751466,20191018,20190103,751466
550,201901030751474,20190109,20190103,751474
551,201901030751480,20190331,20190103,751480
552,201901030751481,20190103,20190103,751481
553,201901030751482,20190104,20190103,751482
554,201901030751483,20191025,20190103,751483
555,201901030751490,20190423,20190103,751490
556,201901030751495,20190915,20190103,751495
557,201901030751496,20190818,20190103,751496
558,201901030751499,20190131,20190103,751499
559,201901030751500,20190625,20190103,751500
560,201901030751506,20190117,20190103,751506
561,201901030751510,20191025,20190103,751510
